id,type,domain,enabled,date_added,date_modified,comment
1,0,www.googleadservices.com,1,1590241990,1590241990,
2,0,amazon.de,1,1592155522,1592155522,
4,0,www.lotto24.de,1,1593095190,1593095190,
5,0,www.eis.de,1,1593201141,1593201141,
6,0,pixel.everesttech.net,1,1593679869,1593679869,
7,0,m.exactag.com,1,1594985517,1594985517,
8,0,www.gamescom.de,1,1598594339,1598594339,
9,0,www.jdoqocy.com,1,1603021166,1603021166,
13,0,spiegel-de.spiegel.de,1,1603366839,1603366839,""
14,0,kundencenter.telekom.de,1,1603392292,1603392292,
15,0,ad.admitad.com,1,1605442762,1605442762,""
16,0,link.epicgames.com,1,1608817915,1608817915,
17,0,sourcepoint.mgr.consensu.org,1,1610000326,1610000326,""
18,0,message331-fra.sp-prod.net,1,1610000396,1610000396,""
19,0,www.smartredirect.de,1,1614527001,1614527001,""
